"year","temperature","uncertainty"
1850,-0.375,0.107
1851,-0.223,0.102
1852,-0.224,0.1
1853,-0.271,0.099
1854,-0.246,0.09
1855,-0.271,0.087
1856,-0.352,0.087
1857,-0.46,0.083
1858,-0.466,0.085
1859,-0.286,0.088
1860,-0.346,0.088
1861,-0.409,0.098
1862,-0.522,0.103
1863,-0.276,0.106
1864,-0.49,0.101
1865,-0.27,0.109
1866,-0.245,0.103
1867,-0.314,0.102
1868,-0.231,0.099
1869,-0.262,0.091
1870,-0.275,0.083
1871,-0.333,0.087
1872,-0.227,0.081
1873,-0.303,0.078
1874,-0.374,0.077
1875,-0.397,0.077
1876,-0.38,0.075
1877,-0.076,0.075
1878,0.035,0.075
1879,-0.232,0.071
1880,-0.229,0.072
1881,-0.206,0.073
1882,-0.215,0.07
1883,-0.295,0.066
1884,-0.408,0.066
1885,-0.391,0.066
1886,-0.369,0.066
1887,-0.419,0.064
1888,-0.312,0.064
1889,-0.173,0.065
1890,-0.419,0.063
1891,-0.338,0.065
1892,-0.457,0.065
1893,-0.474,0.064
1894,-0.406,0.064
1895,-0.393,0.063
1896,-0.189,0.064
1897,-0.211,0.064
1898,-0.416,0.063
1899,-0.291,0.062
1900,-0.2,0.063
1901,-0.265,0.065
1902,-0.407,0.062
1903,-0.485,0.063
1904,-0.526,0.063
1905,-0.382,0.061
1906,-0.288,0.062
1907,-0.47,0.06
1908,-0.516,0.06
1909,-0.53,0.059
1910,-0.494,0.058
1911,-0.547,0.057
1912,-0.44,0.057
1913,-0.428,0.058
1914,-0.248,0.06
1915,-0.151,0.066
1916,-0.388,0.063
1917,-0.467,0.065
1918,-0.335,0.069
1919,-0.275,0.067
1920,-0.246,0.065
1921,-0.187,0.059
1922,-0.302,0.059
1923,-0.272,0.056
1924,-0.293,0.058
1925,-0.213,0.057
1926,-0.106,0.057
1927,-0.21,0.056
1928,-0.208,0.055
1929,-0.35,0.056
1930,-0.136,0.055
1931,-0.083,0.056
1932,-0.134,0.054
1933,-0.269,0.053
1934,-0.126,0.053
1935,-0.173,0.052
1936,-0.141,0.05
1937,-0.024,0.049
1938,-0.003,0.051
1939,-0.047,0.053
1940,0.02,0.06
1941,0.021,0.055
1942,-0.023,0.057
1943,0.001,0.058
1944,0.152,0.057
1945,0.03,0.06
1946,-0.07,0.053
1947,-0.04,0.051
1948,-0.037,0.049
1949,-0.071,0.048
1950,-0.172,0.047
1951,-0.052,0.048
1952,0.03,0.047
1953,0.097,0.048
1954,-0.132,0.047
1955,-0.19,0.046
1956,-0.265,0.044
1957,-0.005,0.044
1958,0.046,0.043
1959,0.016,0.042
1960,-0.049,0.042
1961,0.039,0.042
1962,0.016,0.042
1963,0.048,0.043
1964,-0.222,0.042
1965,-0.141,0.042
1966,-0.07,0.042
1967,-0.076,0.042
1968,-0.113,0.041
1969,0.03,0.041
1970,-0.027,0.041
1971,-0.186,0.041
1972,-0.068,0.041
1973,0.064,0.04
1974,-0.212,0.041
1975,-0.146,0.041
1976,-0.24,0.041
1977,0.045,0.04
1978,-0.063,0.041
1979,0.056,0.039
1980,0.092,0.041
1981,0.14,0.041
1982,0.012,0.041
1983,0.193,0.041
1984,-0.013,0.041
1985,-0.029,0.04
1986,0.046,0.04
1987,0.191,0.041
1988,0.201,0.041
1989,0.121,0.041
1990,0.297,0.041
1991,0.254,0.041
1992,0.105,0.041
1993,0.145,0.041
1994,0.206,0.042
1995,0.321,0.041
1996,0.182,0.041
1997,0.389,0.04
1998,0.536,0.04
1999,0.307,0.04
2000,0.295,0.04
2001,0.44,0.04
2002,0.496,0.041
2003,0.509,0.041
2004,0.45,0.041
2005,0.544,0.042
2006,0.505,0.041
2007,0.493,0.04
2008,0.395,0.039
2009,0.506,0.041
2010,0.559,0.041
2011,0.422,0.041
2012,0.47,0.041
2013,0.499,0.041
2014,0.567,0.04
2015,0.746,0.041
2016,0.989,0.074
